#Add comments by starting lines with '#'

#Row should be tab-delimited
#Missing values should be represented with a non-numeric character
#Trait Name / Strain Name should always be in the 1st row/column
#Trait name can be longer and contain white space but no tab

#Each row/column must have the same number of items
#if the strain field contains unknown strains(ie. BXD157)
#the file will be rejected

#The first cell start with a @
#First cell tells the format of the text
#@format=column, each column is a trait
#@format=row, each row is a trait"

#SE/N column/row (if any) should immediately follow the 																																				
#corresponding Trait value column/row																																				

@format=column	B6D2F1	D2B6F1	C57BL/6J	DBA/2J	BXD1	BXD2	BXD5	BXD6	BXD8	BXD9	BXD11	BXD12	BXD13	BXD14	BXD15	BXD16	BXD18	BXD19	BXD20	BXD21	BXD22	BXD23	BXD24	BXD24a	BXD25	BXD27	BXD28	BXD29	BXD30	BXD31	BXD32	BXD33	BXD34	BXD35	BXD36	BXD37	BXD38	BXD39	BXD40	BXD41	BXD42	BXD43	BXD44	BXD45	BXD48	BXD48a	BXD49	BXD50	BXD51	BXD52	BXD53	BXD54	BXD55	BXD56	BXD59	BXD60	BXD61	BXD62	BXD63	BXD64	BXD65	BXD65a	BXD65b	BXD66	BXD67	BXD68	BXD69	BXD70	BXD71	BXD72	BXD73	BXD73a	BXD73b	BXD74	BXD75	BXD76	BXD77	BXD78	BXD79	BXD81	BXD83	BXD84	BXD85	BXD86	BXD87	BXD88	BXD89	BXD90	BXD91	BXD93	BXD94	BXD95	BXD98	BXD99	BXD100	BXD101	BXD102	BXD104	BXD105	BXD106	BXD107	BXD108	BXD109	BXD110	BXD111	BXD112	BXD113	BXD114	BXD115	BXD116	BXD117	BXD119	BXD120	BXD121	BXD122	BXD123	BXD124	BXD125	BXD126	BXD127	BXD128	BXD128a	BXD130	BXD131	BXD132	BXD133	BXD134	BXD135	BXD136	BXD137	BXD138	BXD139	BXD141	BXD142	BXD144	BXD145	BXD146	BXD147	BXD148	BXD149	BXD150	BXD151	BXD152	BXD153	BXD154	BXD155	BXD156	BXD157	BXD160	BXD161	BXD162	BXD165	BXD168	BXD169	BXD170	BXD171	BXD172	BXD173	BXD174	BXD175	BXD176	BXD177	BXD178	BXD180	BXD181	BXD183	BXD184	BXD186	BXD187	BXD188	BXD189	BXD190	BXD191	BXD192	BXD193	BXD194	BXD195	BXD196	BXD197	BXD198	BXD199	BXD200	BXD201	BXD202	BXD203	BXD204	BXD205	BXD206	BXD207	BXD208	BXD209	BXD210	BXD211	BXD212	BXD213	BXD214	BXD215	BXD216	BXD217	BXD218	BXD219	BXD220
Central nervous system, morphology: Brain weight in 2-month-old adult males and females (balanced sample) on a standard diet (Teklad 7001 4% fat) [mg]	460.121	X	470.253	400.692	470.588	432.944	514.051	389.764	436.857	435.807	444.262	444.003	398.062	421.972	455.929	448.976	428.546	425.081	391.707	437.124	449.665	421.082	409.5	385.6	408.762	367.645	402.813	395.046	372.922	416.129	430.71	428.577	420.545	417.244	415.869	424.187	420.67	416.726	436.781	X	442.56	421.38	438.364	442.016	412.269	416.705	405.833	417.544	440.517	X	X	X	469.816	434.81	X	448.498	457.539	437.164	408.1	446.6	424.386	443.842	434.901	410.231	408.775	444.11	451.167	429.748	443.741	X	439.678	439.776	452.84	390.75	421.067	436.1	453.04	417.172	374.017	406.688	439.462	409.604	431.285	484.774	429.752	X	446.717	434.574	462.85	415.322	X	442.48	412.735	452.074	445.842	378.333	402.891	374.017	367.645	378.333	385.6	372.922	390.75	389.764	402.891	391.707	405.833	398.062	395.046	408.775	409.604	400.692	402.813	406.688	410.231	408.1	412.735	417.544	408.762	416.705	409.5	416.726	415.869	415.322	412.269	420.545	421.067	416.129	417.244	424.386	421.38	420.67	417.172	429.748	429.752	421.972	434.81	421.082	425.081	424.187	439.462	430.71	428.546	428.577	442.48	431.285	434.574	439.776	435.807	443.741	436.781	432.944	436.857	445.842	437.164	434.901	438.364	439.678	444.11	437.124	442.56	440.517	452.074	442.016	436.1	443.842	452.84	446.717	444.262	444.003	448.498	451.167	448.976	457.539	453.04	446.6	449.665	455.929	460.121	469.816	462.85	470.588	470.253	484.774	514.051	470.253	437.164	439.678	451.167	421.38	438.364	448.498	416.705	440.517	421.067	444.003	416.726	412.269	416.129	449.665	400.692	484.774
SE	2.60665	X	1.65473	2.59554	3.80836	3.3022	5.13482	3.37264	4.96952	2.42042	3.76132	2.22527	4.11123	3.03449	4.26894	4.52902	2.92179	4.83339	3.79352	5.27705	3.05039	4.17855	4.16289	5.60732	4.37784	2.7341	2.85413	4.62962	4.79163	2.65675	2.62957	4.89593	4.3474	6.80333	2.8703	9.76611	4.27944	2.18479	2.75789	X	3.86432	2.25784	2.07963	3.46504	2.41433	2.40746	7.27286	5.64804	2.13807	X	X	X	4.59255	4.88569	X	1.7843	2.95708	1.71684	6.72499	12.1	4.09947	3.50265	2.6265	2.81867	10.0394	4.52665	2.00258	2.65067	5.41424	X	2.1279	4.2592	5.2315	6.66302	2.45511	12.5587	4.54135	5.71781	5.13812	10.613	6.55372	6.93455	4.48793	2.73209	3.24105	X	3.95748	2.74025	15.3439	9.9441	X	13.9709	5.93566	7.31644	3.91536	3.8873	8.39658	5.13812	2.7341	3.8873	5.60732	4.79163	6.66302	3.37264	8.39658	3.79352	7.27286	4.11123	4.62962	10.0394	6.93455	2.59554	2.85413	10.613	2.81867	6.72499	5.93566	5.64804	4.37784	2.40746	4.16289	2.18479	2.8703	9.9441	2.41433	4.3474	2.45511	2.65675	6.80333	4.09947	2.25784	4.27944	5.71781	2.65067	3.24105	3.03449	4.88569	4.17855	4.83339	9.76611	6.55372	2.62957	2.92179	4.89593	13.9709	4.48793	2.74025	4.2592	2.42042	5.41424	2.75789	3.3022	4.96952	3.91536	1.71684	2.6265	2.07963	2.1279	4.52665	5.27705	3.86432	2.13807	7.31644	3.46504	12.5587	3.50265	5.2315	3.95748	3.76132	2.22527	1.7843	2.00258	4.52902	2.95708	4.54135	12.1	3.05039	4.26894	2.60665	4.59255	15.3439	3.80836	1.65473	2.73209	5.13482	1.65473	1.71684	2.1279	2.00258	2.25784	2.07963	1.7843	2.40746	2.13807	2.45511	2.22527	2.18479	2.41433	2.65675	3.05039	2.59554	2.73209
N	87	X	254	146	68	62	75	69	54	99	68	114	61	97	31	49	46	43	29	55	26	40	31	13	34	76	47	28	23	90	144	40	78	18	101	8	50	89	94	X	48	142	202	82	103	79	6	48	173	X	X	X	56	49	X	189	99	176	18	2	36	60	94	81	8	29	188	90	32	X	165	50	5	4	102	3	47	25	6	8	32	26	46	96	90	X	54	61	6	18	X	15	26	23	45	6	23	6	76	6	13	23	4	69	23	29	6	61	28	8	26	146	47	8	81	18	26	48	34	79	31	89	101	18	103	78	102	90	18	36	142	50	25	90	90	97	49	40	43	8	32	144	46	40	15	46	61	50	99	32	94	62	54	45	176	94	202	165	29	55	48	173	23	82	3	60	5	54	68	114	189	188	49	99	47	2	26	31	87	56	6	68	254	96	75	254	176	165	188	142	202	189	79	173	102	114	89	103	90	26	146	96
Central nervous system, behavior, learning and memory: Learning speed, initial acquisition of task, trials to criterion in naive 4-month adult males (Med Associaes nose poke system chamber, low values = faster learning) [n]	469.31	X	485.055	410.091	483.953	444.595	525.3	399.5	445.898	443.584	453.038	456.622	406.734	433.693	466.823	461.849	440.3	436.898	404.593	448.585	464.446	435.918	422.906	385.6	421.032	378.007	410.553	408.068	386.165	428.674	440.238	441.843	426.309	429.194	423.973	438.875	431.658	423.244	444.022	X	448.86	430.715	447.31	452.188	426.145	422.709	405.833	418.835	450.949	X	X	X	470.787	434.81	X	458.608	462.095	446.616	418.356	463.25	430.269	452.41	447.012	414.089	408.775	448.166	459.29	432.61	443.741	X	447.399	443.226	452.84	390.75	426.632	452.333	462.698	432.592	376.25	410.863	439.462	409.604	442.554	493.732	433.656	X	452.848	442.911	480.033	425.9	X	442.48	418.7	452.074	446.227	378.333	402.891	376.25	378.007	378.333	385.6	386.165	390.75	399.5	402.891	404.593	405.833	406.734	408.068	408.775	409.604	410.091	410.553	410.863	414.089	418.356	418.7	418.835	421.032	422.709	422.906	423.244	423.973	425.9	426.145	426.309	426.632	428.674	429.194	430.269	430.715	431.658	432.592	432.61	433.656	433.693	434.81	435.918	436.898	438.875	439.462	440.238	440.3	441.843	442.48	442.554	442.911	443.226	443.584	443.741	444.022	444.595	445.898	446.227	446.616	447.012	447.31	447.399	448.166	448.585	448.86	450.949	452.074	452.188	452.333	452.41	452.84	452.848	453.038	456.622	458.608	459.29	461.849	462.095	462.698	463.25	464.446	466.823	469.31	470.787	480.033	483.953	485.055	493.732	525.3	485.055	446.616	447.399	459.29	430.715	447.31	458.608	422.709	450.949	426.632	456.622	423.244	426.145	428.674	464.446	410.091	493.732
SE	2.88193	X	1.72232	2.5812	4.2272	3.69905	5.18907	3.5015	5.20314	2.75916	3.8222	2.32208	4.34944	3.2102	4.49865	4.95118	3.11655	5.11931	4.28753	5.44503	3.27287	4.27217	4.08013	5.60732	4.56433	2.79269	3.35291	4.55469	4.8948	2.83145	2.67964	4.96852	4.51253	6.75819	3.02825	9.68529	4.84149	2.15454	3.03073	X	4.34837	2.21256	2.16943	3.44085	2.5985	2.82137	7.27286	5.67934	2.16332	X	X	X	4.69293	4.88569	X	1.76945	3.1982	1.7703	7.49172	12.55	4.82246	3.81498	2.65841	3.08511	10.0394	4.96748	1.99617	2.77249	5.41424	X	2.11998	4.74159	5.2315	6.66302	2.5384	13.0425	4.79556	5.92743	4.74649	13.0263	6.55372	6.93455	4.92919	2.99082	3.32098	X	4.0834	3.28701	15.9208	8.87493	X	13.9709	6.39862	7.31644	3.96688	3.8873	8.39658	4.74649	2.79269	3.8873	5.60732	4.8948	6.66302	3.5015	8.39658	4.28753	7.27286	4.34944	4.55469	10.0394	6.93455	2.5812	3.35291	13.0263	3.08511	7.49172	6.39862	5.67934	4.56433	2.82137	4.08013	2.15454	3.02825	8.87493	2.5985	4.51253	2.5384	2.83145	6.75819	4.82246	2.21256	4.84149	5.92743	2.77249	3.32098	3.2102	4.88569	4.27217	5.11931	9.68529	6.55372	2.67964	3.11655	4.96852	13.9709	4.92919	3.28701	4.74159	2.75916	5.41424	3.03073	3.69905	5.20314	3.96688	1.7703	2.65841	2.16943	2.11998	4.96748	5.44503	4.34837	2.16332	7.31644	3.44085	13.0425	3.81498	5.2315	4.0834	3.8222	2.32208	1.76945	1.99617	4.95118	3.1982	4.79556	12.55	3.27287	4.49865	2.88193	4.69293	15.9208	4.2272	1.72232	2.99082	5.18907	1.72232	1.7703	2.11998	1.99617	2.21256	2.16943	1.76945	2.82137	2.16332	2.5384	2.32208	2.15454	2.5985	2.83145	3.27287	2.5812	2.99082
N	87	X	254	146	68	62	75	69	54	99	68	114	61	97	31	49	46	43	29	55	26	40	31	13	34	76	47	28	23	90	144	40	78	18	101	8	50	89	94	X	48	142	202	82	103	79	6	48	173	X	X	X	56	49	X	189	99	176	18	2	36	60	94	81	8	29	188	90	32	X	165	50	5	4	102	3	47	25	6	8	32	26	46	96	90	X	54	61	6	18	X	15	26	23	45	6	23	6	76	6	13	23	4	69	23	29	6	61	28	8	26	146	47	8	81	18	26	48	34	79	31	89	101	18	103	78	102	90	18	36	142	50	25	90	90	97	49	40	43	8	32	144	46	40	15	46	61	50	99	32	94	62	54	45	176	94	202	165	29	55	48	173	23	82	3	60	5	54	68	114	189	188	49	99	47	2	26	31	87	56	6	68	254	96	75	254	176	165	188	142	202	189	79	173	102	114	89	103	90	26	146	96
Infectious disease, immune function: Cowpox virus maximum body temperature over two weeks after 10^6 pfu intranasal inoculation, males and females between 40 and 152 days of age, residuals corrected for sex, age and body weight [scaled deg C where -0.5 is >34.5 and 0.5 is <38]	457.375	X	474.438	404.971	478.054	427.536	519.353	390.511	437.676	429.642	443.651	448.963	403.899	426.136	452.669	454.554	431.124	430.41	402.79	438.8	455.448	427.6	403.73	390.801	415.684	372.155	406.136	402.946	385.661	418.728	428.894	436.37	415.725	425.596	419.859	410.872	428.497	414.214	439.594	X	443.02	423.284	437.138	446.642	412.671	414.948	407.057	418.391	439.887	X	X	X	469.944	429.454	X	437.122	454.284	437.106	414.111	436.282	421.458	434.971	426.579	411.204	412.544	437.758	447.899	426.008	443.397	X	442.63	440.205	443.996	397.488	421.741	433.432	437.88	419.535	382.556	412.357	448.101	411.322	429.114	478.721	426.975	X	439.92	432.472	464.823	413.024	X	438.914	412.886	449.968	436.52	383.553	398.186	382.556	372.155	383.553	390.801	385.661	397.488	390.511	398.186	402.79	407.057	403.899	402.946	412.544	411.322	404.971	406.136	412.357	411.204	414.111	412.886	418.391	415.684	414.948	403.73	414.214	419.859	413.024	412.671	415.725	421.741	418.728	425.596	421.458	423.284	428.497	419.535	426.008	426.975	426.136	429.454	427.6	430.41	410.872	448.101	428.894	431.124	436.37	438.914	429.114	432.472	440.205	429.642	443.397	439.594	427.536	437.676	436.52	437.106	426.579	437.138	442.63	437.758	438.8	443.02	439.887	449.968	446.642	433.432	434.971	443.996	439.92	443.651	448.963	437.122	447.899	454.554	454.284	437.88	436.282	455.448	452.669	457.375	469.944	464.823	478.054	474.438	478.721	519.353	474.438	437.106	442.63	447.899	423.284	437.138	437.122	414.948	439.887	421.741	448.963	414.214	412.671	418.728	455.448	404.971	478.721
SE	3.0838	X	1.66519	2.47942	3.3748	3.15486	4.72786	3.61206	5.14337	2.74812	3.17695	2.1487	4.1683	2.87368	3.61616	3.61401	2.7744	4.44471	3.69568	4.83952	2.13444	3.42308	3.06946	5.55982	3.88375	2.84779	3.25772	4.23511	4.3811	2.20187	2.72517	4.92529	4.40693	4.84255	2.52	7.37248	3.71159	2.20137	2.41315	X	3.57878	2.1093	1.99189	3.03991	2.21405	1.84956	6.12464	5.25401	2.15283	X	X	X	4.03921	4.71976	X	2.06878	2.53187	1.68988	6.54852	9.18872	3.29804	3.4102	2.61316	2.74612	8.80494	4.47189	1.92635	2.37461	4.89018	X	1.9248	3.67541	X	6.81866	2.18643	10.3084	4.11233	5.98787	6.51856	12.4286	6.16712	5.54646	4.01427	2.31356	2.55312	X	2.77706	2.52911	11.901	8.74523	X	11.6683	6.08229	6.23857	3.96124	4.00709	9.88929	6.51856	2.84779	4.00709	5.55982	4.3811	6.81866	3.61206	9.88929	3.69568	6.12464	4.1683	4.23511	8.80494	5.54646	2.47942	3.25772	12.4286	2.74612	6.54852	6.08229	5.25401	3.88375	1.84956	3.06946	2.20137	2.52	8.74523	2.21405	4.40693	2.18643	2.20187	4.84255	3.29804	2.1093	3.71159	5.98787	2.37461	2.55312	2.87368	4.71976	3.42308	4.44471	7.37248	6.16712	2.72517	2.7744	4.92529	11.6683	4.01427	2.52911	3.67541	2.74812	4.89018	2.41315	3.15486	5.14337	3.96124	1.68988	2.61316	1.99189	1.9248	4.47189	4.83952	3.57878	2.15283	6.23857	3.03991	10.3084	3.4102	X	2.77706	3.17695	2.1487	2.06878	1.92635	3.61401	2.53187	4.11233	9.18872	2.13444	3.61616	3.0838	4.03921	11.901	3.3748	1.66519	2.31356	4.72786	1.66519	1.68988	1.9248	1.92635	2.1093	1.99189	2.06878	1.84956	2.15283	2.18643	2.1487	2.20137	2.21405	2.20187	2.13444	2.47942	2.31356
N	87	X	254	146	68	62	75	69	54	99	68	114	61	97	31	49	46	43	29	55	26	40	31	13	34	76	47	28	23	90	144	40	78	18	101	8	50	89	94	X	48	142	202	82	103	79	6	48	173	X	X	X	56	49	X	189	99	176	18	2	36	60	94	81	8	29	188	90	32	X	165	50	5	4	102	3	47	25	6	8	32	26	46	96	90	X	54	61	6	18	X	15	26	23	45	6	23	6	76	6	13	23	4	69	23	29	6	61	28	8	26	146	47	8	81	18	26	48	34	79	31	89	101	18	103	78	102	90	18	36	142	50	25	90	90	97	49	40	43	8	32	144	46	40	15	46	61	50	99	32	94	62	54	45	176	94	202	165	29	55	48	173	23	82	3	60	5	54	68	114	189	188	49	99	47	2	26	31	87	56	6	68	254	96	75	254	176	165	188	142	202	189	79	173	102	114	89	103	90	26	146	96
Musculoskeletal system: Bone mineral density (WC-BMD) in females corrected for whole body weight [mg/cm2]	465.968	X	488.776	414.383	492.576	438.697	530.186	400.747	445.859	437.196	452.583	461.049	411.334	438.413	462.643	466.364	442.305	442.403	415.123	450.265	469.971	442.154	417.29	389.581	427.953	381.942	412.801	415.167	398.138	430.899	437.842	449.352	421.077	436.49	427.587	429.919	438.688	420.157	446.549	X	448.954	432.182	446.894	457.649	426.057	420.545	405.682	419.602	450.419	X	X	X	470.528	429.871	X	447.543	458.602	446.437	424.192	454.906	428.059	443.171	437.93	416.054	412.731	443.091	455.804	429.612	444.027	X	450.786	444.4	444.23	396.589	427.256	452.429	447.104	434.523	386.006	418.587	448.472	411.292	439.863	487.895	432.278	X	446.726	441.078	483.377	423.064	X	438.51	419.56	450.869	436.924	382.171	397.68	386.006	381.942	382.171	389.581	398.138	396.589	400.747	397.68	415.123	405.682	411.334	415.167	412.731	411.292	414.383	412.801	418.587	416.054	424.192	419.56	419.602	427.953	420.545	417.29	420.157	427.587	423.064	426.057	421.077	427.256	430.899	436.49	428.059	432.182	438.688	434.523	429.612	432.278	438.413	429.871	442.154	442.403	429.919	448.472	437.842	442.305	449.352	438.51	439.863	441.078	444.4	437.196	444.027	446.549	438.697	445.859	436.924	446.437	437.93	446.894	450.786	443.091	450.265	448.954	450.419	450.869	457.649	452.429	443.171	444.23	446.726	452.583	461.049	447.543	455.804	466.364	458.602	447.104	454.906	469.971	462.643	465.968	470.528	483.377	492.576	488.776	487.895	530.186	488.776	446.437	450.786	455.804	432.182	446.894	447.543	420.545	450.419	427.256	461.049	420.157	426.057	430.899	469.971	414.383	487.895
