#this is a test file, it should be tab-delimited
#the first three/four columns should be "Chr, Locus, cM, [Mb]" (case sensitive)
#please save as Unix format text file.
#comment line always start with a '#'
#type riset or intercross
@type:riset
#@type:intercross
@name:BXD
#abbreviation of maternal or paternal parents
@mat:B6
@pat:D
#heterozygous , optional, default is "H"
@het:H
#Unknown , optional, default is "U"
@unk:U
Chr	Locus	cM	BXD1	BXD2	BXD5	BXD6	BXD8	BXD9	BXD11	BXD12	BXD13	BXD14	BXD15	BXD16	BXD18	BXD19	BXD20	BXD21	BXD22	BXD23	BXD24	BXD25	BXD27	BXD28	BXD29	BXD30	BXD31	BXD32	BXD33	BXD34	BXD35	BXD36	BXD37	BXD38	BXD39	BXD40	BXD42
1	D1Mit1	8.3	B6	B6	D	D	D	B6	D	D	B6	B6	D	D	B6	D	D	D	D	B6	B6	D	B6	D	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	B6	B6
1	D1Mit294	8.6	B6	B6	D	D	D	B6	D	D	B6	B6	D	D	B6	D	D	D	D	B6	B6	D	B6	D	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	B6	B6
1	D1Mit430	10	B6	B6	B6	D	D	B6	D	D	B6	B6	D	D	D	D	D	D	D	B6	B6	D	B6	B6	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	B6	B6
1	D1Mit231	12	D	B6	B6	D	D	B6	D	D	B6	B6	D	D	D	D	D	D	D	B6	B6	D	B6	B6	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	B6	B6
1	D1Mit169	14.5	D	B6	B6	D	D	B6	D	D	B6	B6	D	D	D	D	B6	D	B6	B6	B6	D	D	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	D	B6	D
1	D1Mit373	17	D	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	B6	D	B6	B6	B6	D	B6	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	D	B6	D
1	D1Mit318	18.5	D	B6	B6	D	D	B6	B6	D	B6	B6	D	B6	D	D	D	D	B6	B6	B6	D	B6	B6	D	D	B6	B6	D	B6	B6	D	B6	B6	D	B6	D
1	D1Mit171	20.2	D	B6	B6	D	D	B6	B6	D	B6	B6	D	B6	D	D	D	D	B6	B6	B6	D	B6	D	D	D	B6	B6	D	B6	B6	D	B6	B6	D	B6	D
1	D1Mit375	25.7	D	B6	B6	D	D	B6	B6	B6	B6	B6	B6	D	D	D	D	D	B6	B6	B6	D	D	D	D	D	B6	B6	D	B6	B6	B6	D	B6	D	B6	D
1	D1Mit214	32.1	B6	B6	B6	D	D	B6	B6	B6	B6	B6	D	D	D	D	D	B6	B6	B6	B6	D	D	D	D	D	B6	D	D	B6	B6	D	D	B6	D	B6	D
1	D1Mit480	32.8	B6	B6	B6	D	D	B6	B6	B6	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	B6	D	B6	D
1	D1Mit328	33.8	B6	B6	B6	D	D	B6	B6	B6	B6	B6	D	B6	B6	D	B6	B6	D	B6	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	B6	D	B6	D
1	D1Mit282	36.7	D	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	B6	B6	D	D	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	B6	D	B6	D
1	D1Mit7	41.5	D	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	B6	D	B6	D	D	D	D	D	D	B6	D	B6	D
1	D1Mit216	48.5	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	D	B6	D	B6	D	D	B6	D	D	D	B6	D	B6	D	D	D	D	D	D	B6	D	D	D
1	D1Mit80	53	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	D	D
1	D1Mit49	54.5	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	D	D
1	D1Mit45	58.5	B6	B6	D	D	D	B6	B6	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	D	D	B6	D	D	B6	D	B6	D	B6	U
1	D1Mit11	59.2	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	B6	D	D	B6	D	B6	D	B6	B6
1	D1Mit135	61	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	B6	B6	D	B6	D	B6	D	B6	D	D	B6	D	B6	D	B6	B6
1	D1Mit417	62	B6	B6	D	D	B6	B6	D	B6	D	B6	D	D	D	B6	D	B6	D	D	D	B6	B6	D	D	D	B6	D	B6	D	D	B6	D	B6	D	B6	B6
1	D1Mit308	62.4	B6	B6	D	D	B6	B6	D	B6	D	B6	D	D	D	B6	D	B6	D	D	D	B6	B6	D	D	D	B6	D	B6	D	D	B6	D	B6	D	B6	B6
1	D1Mit389	63.5	B6	B6	D	D	B6	B6	D	B6	D	B6	D	D	D	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	U	D	D	B6	D	B6	D	B6	B6
1	D1Mit91	64	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit139	65	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit218	67	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit30	70	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit446	70	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit200	73	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	D	B6	D	D	D	D	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit451	81.6	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	B6	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit425	81.6	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	B6	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit14	82	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	B6	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit105	82	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	D	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit106	85	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	D	D	D	B6	B6	D	B6	D	D	B6
