#this is a test file, it should be tab-delimited
#the first three/four columns should be "Chr, Locus, cM, [Mb]" (case sensitive)
#please save as Unix format text file.
#comment line always start with a '#'
#type riset or intercross
#@type:riset
@type:intercross
@name:BXD
#abbreviation of maternal or paternal parents
@mat:B6
@pat:D
#heterozygous , optional, default is "H"
@het:H
#Unknown , optional, default is "U"
@unk:U																																					
Chr	Locus	cM	Mb	BXD1	BXD2	BXD5	BXD6	BXD8	BXD9	BXD11	BXD12	BXD13	BXD14	BXD15	BXD16	BXD18	BXD19	BXD20	BXD21	BXD22	BXD23	BXD24	BXD25	BXD27	BXD28	BXD29	BXD30	BXD31	BXD32	BXD33	BXD34	BXD35	BXD36	BXD37	BXD38	BXD39	BXD40	BXD42
1	D1Mit1	8.3	16.6	B6	B6	D	D	D	B6	D	D	B6	B6	D	D	B6	D	D	D	D	B6	B6	D	B6	D	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	B6	B6
1	D1Mit294	8.6	17.2	B6	B6	D	D	D	B6	D	D	B6	B6	D	D	B6	D	D	D	D	B6	B6	D	B6	D	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	B6	B6
1	D1Mit430	10	20	B6	B6	B6	D	D	B6	D	D	B6	B6	D	D	D	D	D	D	D	B6	B6	D	B6	B6	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	B6	B6
1	D1Mit231	12	24	D	B6	B6	D	D	B6	D	D	B6	B6	D	D	D	D	D	D	D	B6	B6	D	B6	B6	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	B6	B6
1	D1Mit169	14.5	29	D	B6	B6	D	D	B6	D	D	B6	B6	D	D	D	D	B6	D	B6	B6	B6	D	D	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	D	B6	D
1	D1Mit373	17	34	D	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	B6	D	B6	B6	B6	D	B6	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	D	B6	D
1	D1Mit318	18.5	37	D	B6	B6	D	D	B6	B6	D	B6	B6	D	B6	D	D	D	D	B6	B6	B6	D	B6	B6	D	D	B6	B6	D	B6	B6	D	B6	B6	D	B6	D
1	D1Mit171	20.2	40.4	D	B6	B6	D	D	B6	B6	D	B6	B6	D	B6	D	D	D	D	B6	B6	B6	D	B6	D	D	D	B6	B6	D	B6	B6	D	B6	B6	D	B6	D
1	D1Mit375	25.7	51.4	D	B6	B6	D	D	B6	B6	B6	B6	B6	B6	D	D	D	D	D	B6	B6	B6	D	D	D	D	D	B6	B6	D	B6	B6	B6	D	B6	D	B6	D
1	D1Mit214	32.1	64.2	B6	B6	B6	D	D	B6	B6	B6	B6	B6	D	D	D	D	D	B6	B6	B6	B6	D	D	D	D	D	B6	D	D	B6	B6	D	D	B6	D	B6	D
1	D1Mit480	32.8	65.6	B6	B6	B6	D	D	B6	B6	B6	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	B6	D	B6	D
1	D1Mit328	33.8	67.6	B6	B6	B6	D	D	B6	B6	B6	B6	B6	D	B6	B6	D	B6	B6	D	B6	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	B6	D	B6	D
1	D1Mit282	36.7	73.4	D	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	B6	B6	D	D	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	B6	D	B6	D
1	D1Mit7	41.5	83	D	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	B6	D	B6	D	D	D	D	D	D	B6	D	B6	D
1	D1Mit216	48.5	97	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	D	B6	D	B6	D	D	B6	D	D	D	B6	D	B6	D	D	D	D	D	D	B6	D	D	D
1	D1Mit80	53	106	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	D	D
1	D1Mit49	54.5	109	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	D	D
1	D1Mit45	58.5	117	B6	B6	D	D	D	B6	B6	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	D	D	B6	D	D	B6	D	B6	D	B6	U
1	D1Mit11	59.2	118.4	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	B6	D	D	B6	D	B6	D	B6	B6
1	D1Mit135	61	122	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	B6	B6	D	B6	D	B6	D	B6	D	D	B6	D	B6	D	B6	B6
1	D1Mit417	62	124	B6	B6	D	D	B6	B6	D	B6	D	B6	D	D	D	B6	D	B6	D	D	D	B6	B6	D	D	D	B6	D	B6	D	D	B6	D	B6	D	B6	B6
1	D1Mit308	62.4	124.8	B6	B6	D	D	B6	B6	D	B6	D	B6	D	D	D	B6	D	B6	D	D	D	B6	B6	D	D	D	B6	D	B6	D	D	B6	D	B6	D	B6	B6
1	D1Mit389	63.5	127	B6	B6	D	D	B6	B6	D	B6	D	B6	D	D	D	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	U	D	D	B6	D	B6	D	B6	B6
1	D1Mit91	64	128	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit139	65	130	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit218	67	134	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit30	70	140	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit446	70	140	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	B6	B6	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit200	73	146	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	D	B6	D	D	D	D	D	D	D	D	B6	D	D	D	D	B6	D	B6	D	B6	B6
1	D1Mit451	81.6	163.2	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	B6	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit425	81.6	163.2	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	B6	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit14	82	164	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	B6	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit105	82	164	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	D	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit106	85	170	B6	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	D	D	D	B6	B6	D	B6	D	D	B6
1	D1Mit145	89	178	B6	B6	D	B6	B6	D	D	B6	D	B6	D	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	D	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit16	89.5	179	B6	B6	D	B6	B6	D	D	B6	D	B6	D	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	D	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit113	93.2	186.4	B6	D	D	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	B6	B6	D	B6	D	B6	B6
1	D1Mit150	100.5	201	B6	D	D	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	D	D	D	B6	D	B6	D	B6	B6	D	B6	D	B6	B6
1	D1Mit426	101	202	B6	B6	D	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	D	D	D	B6	D	B6	D	B6	B6	D	D	D	B6	B6
1	D1Mit291	101.5	203	B6	B6	D	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	B6	D	B6	B6	D	B6	D	B6	B6	D	D	D	B6	B6
1	D1Mit361	101.9	203.8	B6	B6	D	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	B6	D	D	D	D	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	D	B6	B6
1	D1Mit511	109.6	219.2	B6	B6	D	D	D	D	B6	B6	D	D	D	B6	B6	B6	D	D	D	D	D	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	D	B6	D
1	D1Mit155	112	224	B6	B6	D	D	D	D	B6	B6	B6	D	D	B6	B6	B6	D	D	D	D	D	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	D	B6	D
2	D2Mit5	6.5	13	B6	B6	B6	B6	B6	D	B6	D	D	D	B6	B6	D	B6	B6	D	B6	B6	B6	D	B6	B6	D	D	D	D	B6	D	D	D	B6	B6	B6	D	D
2	D2Mit80	9	18	B6	B6	D	B6	D	D	B6	D	D	D	B6	B6	D	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	D	B6	D	B6	D	B6	B6	D	D
2	D2Mit293	13	26	D	B6	D	B6	D	D	B6	D	D	D	B6	B6	B6	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	D	B6	B6	B6	D	B6	B6	D	D
2	D2Mit82	16	32	D	B6	D	B6	D	D	B6	D	D	D	B6	D	B6	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	B6	B6	B6	B6	D	B6	B6	D	D
2	D2Mit367	27	54	B6	B6	D	B6	B6	D	B6	B6	D	D	B6	D	B6	D	B6	D	D	D	D	D	B6	B6	B6	D	D	D	B6	D	B6	D	D	B6	B6	D	D
2	D2Mit241	31	62	D	B6	D	B6	B6	D	B6	B6	D	D	B6	B6	B6	D	D	D	B6	D	D	D	B6	B6	B6	D	D	D	B6	B6	B6	D	D	B6	B6	D	D
2	D2Mit156	32	64	D	B6	D	B6	B6	D	B6	B6	D	D	B6	B6	B6	D	D	D	B6	D	D	B6	B6	B6	B6	D	D	D	B6	B6	B6	D	B6	B6	B6	D	D
2	D2Mit205	37.5	75	D	D	D	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	B6	D	B6	B6	B6	B6	B6	D	D	B6	B6	B6	B6	D	B6	B6	B6	D	D
2	D2Mit37	45	90	D	D	D	B6	B6	B6	D	B6	D	D	B6	D	D	D	D	D	B6	B6	D	B6	B6	B6	B6	D	D	U	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit14	48.5	97	B6	B6	D	B6	B6	D	D	D	D	D	B6	D	D	D	D	D	B6	D	D	B6	B6	B6	D	D	B6	D	B6	B6	B6	D	D	D	D	D	D
